245a,362a,525a,785t,260a,260b,260c,780t,580a,300a,300b,310a,210a,550a,785c,245h,650v,id_inst,pub_location,lcsh,loc_call_num_subject,publisher,pub_date_numeric,online_avail,format,title_sort,language,title,holding_libs,id_oclc,call_num,title_link_friendly
Aide-mémoire de photographie.,v. 1-35; 1876-1910.,NA,NA,"Paris,",Gauthier-Villars.,NA,NA,NA,35 v.,ill.,Annual,NA,NA,NA,NA,Periodicals.,2018133,Paris,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Gauthier-Villars.,1876,1,Serial,Aide-mémoire de photographie,French,Aide-mémoire de photographie,"[CRL, FAL]",ocm06218765,[TR1 .A62],aidememoire-de-photographie
Amateur-Photograph.,Published Sept. 1866-June 1905.,NA,Photographische Welt.,"Leipzig,",E. Liesegang.,NA,NA,NA,v.,ill.,NA,NA,NA,NA,NA,NA,10530151,Leipzig,NA,NA,E. Liesegang.,1866,NA,Serial,Amateur-Photograph,German,Amateur-Photograph,[CRL],(Crl)b10108919,NA,amateurphotograph
The Amateur photographer.,"Vol. 1, no. 1 (Oct. 10, 1884)-v. 47, no. 1231 (May 5, 1908).",NA,"[Photographic news, Amateur photographer and photographic news]",London :,"[Hazell, Watson & Viney,",1884-1908],NA,"Merged with: Photographic news, May 12, 1908, to form: The Amateur photographer and photographic news.",47 v. :,ill.;,Weekly,NA,NA,NA,NA,NA,2014884,London,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],"[Hazell, Watson & Viney",1884,1,Serial,Amateur photographer,English,The Amateur photographer,"[CRL, FIG, FAL]",ocm04750397,[TR1 .A4],the-amateur-photographer
The Amateur photographer and photographic news.,"v. 47-67 (no. 1232-1758); May 12, 1908-June 10, 1918.",Many numbers have separately paged supplements.,"[Photography and focus, Amateur photographer & photography]","London,","Hazell, Watson & Viney.",NA,"[Photographic news, Amateur photographer]","[Formed by the union of: The Photographic news, and: Amateur photographer., Merged with: Photography and focus, to form: Amateur photographer & photography.]",21 v.,"ill., plates., diagrs.",NA,NA,NA,NA,NA,NA,2015625,London,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],"Hazell, Watson & Viney.",1908,1,Serial,Amateur photographer and photographic news,English,The Amateur photographer and photographic news,"[CRL, FIG, FAL]",ocm06288879,[TR1 .A4],the-amateur-photographer-and-photographic-news
The Amateur photographer & photography.,"v. 46-64 (no. 1545-2020); June 19, 1918-July 27, 1927.",NA,Amateur photographer & cinematographer,London,[Iliffe],NA,"[Amateur photographer and photographic news, Photography and focus]","Formed by the union of: The Amateur photographer and photographic news, and: Photography and focus.",19 v.,ill.,Weekly,NA,NA,NA,NA,Periodicals.,2015297,London,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],[Iliffe,1918,NA,Serial,Amateur photographer & photography,English,The Amateur photographer & photography,"[CRL, FAL]",ocm05632564,[TR1 .A38],the-amateur-photographer--photography
The Amateur photographer & cinematographer.,"v. 54-95 (no. 2021-2953); Aug. 3, 1927-June 13, 1945.",NA,Amateur photographer,"London,",[Iliffe],NA,"[Amateur photographer & photography, New photographer]",NA,32 v.,"ill., diagrs., ports.",Weekly,NA,NA,NA,NA,Periodicals.,6225763,London,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],[Iliffe,1927,NA,Serial,Amateur photographer & cinematographer,English,The Amateur photographer & cinematographer,[FAL],ocm05632438,[TR1 .A38],the-amateur-photographer--cinematographer
Amateur photographer.,"v. 95- (no. 2954- ); June 20,1945-",NA,NA,"[Sutton, etc.","IPC Business Press, etc.]",NA,Amateur photographer & cinematographer,NA,v.,ill.,Weekly,Amat. photogr.,NA,NA,NA,NA,6225533,"Sutton, etc.",[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],"IPC Business Press, etc.",1945,NA,Serial,Amateur photographer,English,Amateur photographer,[FAL],ocm03989867,[TR1 .A35],amateur-photographer
American almanac of photography for ..,NA,NA,NA,"Cincinnati, Ohio :",Peter Smith.,NA,NA,NA,1 online resource (v.) :,ill.,NA,NA,NA,NA,NA,Periodicals.,13414509,"Cincinnati, Ohio",[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],Peter Smith.,NA,1,Serial,American almanac of photography for,English,American almanac of photography for,[CRL],(Crl)b28429199,[TR1 .A62],american-almanac-of-photography-for
The American amateur photographer.,"Vol. 1, no. 1 (July 1889)-v. 18, no. 12 (Dec. 1906).",NA,"[Camera and dark room, American amateur photographer and camera and dark room]","[New York, N.Y. :","American Photographic Pub. Co.,",1889-1906.,NA,"Merged with Camera and dark room to form: American amateur photographer and camera and dark room, in Jan. 1907.",v. :,ill. ;,NA,NA,NA,NA,NA,Periodicals.,2015486,"New York, N.Y.",[Photography United States Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],American Photographic Pub. Co.,1889,1,Serial,American amateur photographer,English,The American amateur photographer,"[CRL, FAL, FIG]",ocm07184737,[TR1 .A5],the-american-amateur-photographer
The American amateur photographer and camera & dark-room,"Vol. 19, no. 1 (Jan. 1907)-v. 19, no. 6 (June 1907).",NA,"[Photo beacon, American photography]",New York :,"American Photographic Pub. Co.,",1907,"[American amateur photographer, Camera and dark room]","[Formed by the union of: American amateur photographer, and: Camera and dark room., Merged with: Photo beacon, to form: American photography.]",1 v. :,ill. ;,Monthly,NA,NA,NA,[microform].,Periodicals.,4761330,New York,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],American Photographic Pub. Co.,1907,1,Serial,American amateur photographer and camera & dark-room,English,The American amateur photographer and camera & dark-room,"[CRL, FAL]",ocn173693950,[TR1 .A62],the-american-amateur-photographer-and-camera
American photography.,"v. 1-47, no. 7; July 1907-July 1953.",NA,Photography,"[New York,",American Photographic Pub. Co.],NA,"[American amateur photographer and camera & dark-room, Photo beacon, Camera notes, Popular photography, Amateur photographer's weekly, Photo-craft, Photo-era magazine, Photo miniature, Photo technique, Camera craft]","[Formed by the union of: American amateur photographer and camera & dark-room, and: Photo beacon., Absorbed Camera notes in Jan. 1909; Popular photography in Jan. 1917; Amateur photographer's weekly in Nov. 1919; Photo-craft in Feb. 1920; Photo-era magazine in Apr. 1932; Photo miniature in Oct. 1939; Photo technique in Jan. 1942; Camera craft in Apr. 1942.]",47 v.,"ill., plates (part col.)",NA,Am. photogr.,"[Official organ of the Camera Club of New York, 1900-Apr. 1912; of the Photo Pictorialists of Buffalo, 1909-Dec. 1914; of the Boston Photo-Clan, Dec. 1911-Dec. 1914., Published by American Photographic Publishing Co.]",(Aug. 1952),NA,Periodicals.,6228739,New York,[Photography Periodicals.],[Technology -- Photography -- Periodicals. Societies. Almanacs. Yearbooks],American Photographic Pub. Co.,1907,1,Serial,American photography,English,American photography,"[FIG, FAL]",ocm01480563,[TR1 .A58],american-photography
